ign,club,world_role,data_role,world_overall,new_overall,current_rebuilt,delta,events,rounds_w,new_aim,new_reaction,new_awareness,new_utility,new_clutch,new_teamwork,world_aim,world_reaction,world_awareness,world_utility,world_clutch,world_teamwork,conf_aim,conf_reaction,conf_awareness,conf_utility,conf_clutch,conf_teamwork,flags
koalanoob,FUR,决斗者,决斗者,70,59,67,-11,6,1212,64,64,61,67,65,64,73,82,60,63,67,60,0.75,0.91,0.75,0.75,0.8,0.75,
stellar,FUR,哨卫,先锋,61,72,87,11,1,9,72,71,71,71,79,71,55,53,64,69,58,64,0.02,0.05,0.02,0.02,0.02,0.02,
Spaz,M80,控场,控场,79,68,65,-11,1,87,69,68,67,72,71,70,64,65,81,89,80,86,0.18,0.24,0.18,0.18,0.43,0.18,
Izzy,EF,决斗者,决斗者,74,63,70,-11,2,451,65,70,73,63,55,67,75,85,67,61,77,64,0.53,0.79,0.53,0.53,0.72,0.53,
Folykiki,AT,决斗者,决斗者,57,68,62,11,1,112,68,72,67,71,71,67,56,64,55,55,59,52,0.22,0.45,0.22,0.22,0.0,0.22,clutch:no-data
johnqt,SEN,控场,控场,92,82,87,-10,14,1401,73,83,98,69,71,79,79,77,97,94,87,94,0.78,0.76,0.78,0.78,0.91,0.78,
f0rsakeN,PRX,自由人,控场,91,81,87,-10,16,2415,89,77,65,78,78,80,88,89,88,90,89,92,0.86,0.93,0.86,0.86,0.9,0.86,
supamen,EG,控场,控场,74,64,71,-10,9,1117,76,70,64,62,68,62,71,66,72,80,77,73,0.74,0.83,0.74,0.74,0.88,0.74,
mwzera,KRÜ,先锋,先锋,86,76,82,-10,6,809,80,88,77,68,61,74,82,86,90,87,85,86,0.67,0.72,0.67,0.67,0.83,0.67,
Haodong,TEC,哨卫,控场,74,64,70,-10,11,1407,68,66,70,61,75,61,64,60,73,80,75,74,0.78,0.81,0.78,0.78,0.05,0.78,
iZu,T1,决斗者,先锋,89,79,85,-10,13,1832,93,92,77,51,83,64,88,88,88,76,92,81,0.82,0.9,0.82,0.82,0.92,0.82,
Cloud,FNC,先锋,先锋,81,71,75,-10,10,1285,81,78,72,66,62,70,77,78,82,84,77,81,0.76,0.83,0.76,0.76,0.89,0.76,
Demon1,ENVY,哨卫,哨卫,79,69,76,-10,8,878,81,74,64,57,79,63,85,86,75,74,78,70,0.69,0.84,0.69,0.69,0.86,0.69,
gobera,2G,决斗者,决斗者,59,69,59,10,4,287,63,69,69,77,74,71,59,66,54,59,59,55,0.42,0.59,0.42,0.42,0.63,0.42,
Akame,DFM,先锋,先锋,83,73,80,-10,6,1141,91,81,68,63,64,68,85,82,82,84,79,81,0.74,0.84,0.74,0.74,0.88,0.74,
lucas,TEC,先锋,先锋,82,72,79,-10,4,1154,83,77,74,65,71,68,81,75,85,85,77,81,0.74,0.77,0.74,0.74,0.0,0.74,clutch:no-data
Wolverine,ONG,决斗者,决斗者,61,71,74,10,1,231,67,80,77,72,60,71,63,65,56,60,58,58,0.37,0.55,0.37,0.37,0.48,0.37,
Absol,ZETA,决斗者,决斗者,73,63,71,-10,3,753,69,64,60,69,72,64,78,84,61,63,71,61,0.65,0.85,0.65,0.65,0.77,0.65,
seven,PCF,决斗者,决斗者,69,59,66,-10,3,648,66,46,64,78,65,75,73,73,61,65,68,66,0.62,0.83,0.62,0.62,0.71,0.62,
Tonk,KBG,哨卫,哨卫,61,71,81,10,1,107,76,76,67,70,71,69,62,56,62,67,60,56,0.21,0.34,0.21,0.21,0.0,0.21,clutch:no-data
Verse,DRG,控场,控场,72,82,74,10,1,534,71,62,77,88,71,85,65,57,74,82,58,78,0.57,0.58,0.57,0.57,0.0,0.57,clutch:no-data
Septem7,AG,控场,控场,57,67,61,10,1,77,65,65,69,69,71,72,50,50,54,67,58,58,0.16,0.25,0.16,0.16,0.0,0.16,clutch:no-data
Smoggy,EDG,控场,控场,93,84,87,-9,16,2085,83,83,78,78,72,81,86,80,92,93,85,93,0.84,0.88,0.84,0.84,0.76,0.84,
Alfajer,FNC,哨卫,哨卫,87,78,84,-9,13,1789,99,89,64,54,73,62,95,91,83,75,88,75,0.82,0.92,0.82,0.82,0.9,0.82,
Autumn,GE,决斗者,哨卫,83,74,80,-9,13,1724,78,73,69,64,85,68,87,86,83,73,88,76,0.81,0.9,0.81,0.81,0.88,0.81,
kiNgg,LEV,控场,控场,90,81,86,-9,12,1784,72,87,97,68,66,79,79,81,92,91,86,92,0.82,0.86,0.82,0.82,0.92,0.82,
heat,KRÜ,哨卫,哨卫,75,66,72,-9,7,768,76,81,71,56,59,63,77,83,75,71,75,68,0.66,0.8,0.66,0.66,0.87,0.66,
cNed,PCF,决斗者,决斗者,71,62,71,-9,8,544,69,65,66,64,64,63,75,79,64,62,68,62,0.58,0.79,0.58,0.58,0.71,0.58,
nobody,EDG,先锋,先锋,77,68,70,-9,16,2085,77,72,71,64,78,65,71,65,73,79,72,73,0.84,0.88,0.84,0.84,0.69,0.84,
jawgemo,G2,决斗者,决斗者,81,72,77,-9,14,2278,69,69,70,77,77,78,82,85,73,69,83,75,0.85,0.95,0.85,0.85,0.86,0.85,
Ezeir,NOVA,控场,控场,90,81,89,-9,7,948,80,81,77,78,71,79,87,76,92,95,89,93,0.7,0.73,0.7,0.7,0.0,0.7,clutch:no-data
jzz,FX,哨卫,哨卫,56,65,57,9,3,146,65,66,69,70,66,70,58,63,52,62,52,52,0.27,0.36,0.27,0.27,0.47,0.27,
QiuYe,TEC,先锋,先锋,61,70,70,9,1,28,71,71,70,71,71,71,59,56,62,68,56,59,0.06,0.0,0.06,0.06,0.0,0.06,clutch:no-data
Dingwei,AT,先锋,先锋,54,63,55,9,2,127,68,69,67,65,71,63,50,44,55,66,45,52,0.24,0.18,0.24,0.24,0.0,0.24,clutch:no-data
DH,T1,控场,控场,86,77,84,-9,3,436,73,72,71,79,76,78,76,81,86,95,86,89,0.52,0.65,0.52,0.52,0.7,0.52,
lukxo,LOUD,哨卫,哨卫,84,75,84,-9,5,1125,94,92,64,54,82,60,93,90,80,79,91,73,0.74,0.89,0.74,0.74,0.86,0.74,
sociablEE,FUT,控场,控场,80,71,75,-9,7,1736,72,69,65,76,67,72,74,81,76,86,75,80,0.81,0.88,0.81,0.81,0.92,0.81,
kellyS,TS,控场,控场,73,64,69,-9,6,821,76,70,60,64,59,67,72,75,71,79,65,74,0.67,0.79,0.67,0.67,0.84,0.67,
Yoyo,TYL,先锋,先锋,62,71,65,9,1,129,73,72,70,70,71,70,62,62,61,67,58,59,0.24,0.3,0.24,0.24,0.0,0.24,clutch:no-data
NiSMO,M80,哨卫,决斗者,80,71,79,-9,1,87,72,74,72,76,55,76,79,79,78,83,80,84,0.18,0.34,0.18,0.18,0.43,0.18,
Efina,GEN,先锋,先锋,56,65,57,9,1,416,56,65,70,66,97,66,45,49,59,67,46,58,0.51,0.46,0.51,0.51,0.7,0.51,
echo,EF,控场,哨卫,74,65,72,-9,2,726,81,74,59,65,64,64,83,80,71,77,70,65,0.64,0.8,0.64,0.64,0.81,0.64,
WsLeo,XLG,先锋,先锋,79,88,79,9,5,1402,78,83,82,84,72,86,73,67,86,87,76,86,0.78,0.82,0.78,0.78,0.66,0.78,
Ben1Ley,FPX,决斗者,决斗者,54,63,58,9,1,191,67,59,70,67,71,67,56,53,54,59,52,54,0.32,0.53,0.32,0.32,0.0,0.32,clutch:no-data
Derke,VIT,决斗者,决斗者,92,84,86,-8,13,1674,82,83,77,71,80,77,90,96,81,72,93,79,0.81,0.93,0.81,0.81,0.86,0.81,
keznit,ENVY,决斗者,决斗者,83,75,80,-8,10,1195,72,76,69,71,83,73,85,90,75,69,84,74,0.75,0.91,0.75,0.75,0.81,0.75,
valyn,G2,控场,控场,90,82,87,-8,16,2420,77,82,81,76,76,81,83,83,93,94,88,94,0.86,0.9,0.86,0.86,0.93,0.86,
C0M,FUR,先锋,先锋,71,63,64,-8,11,1291,61,62,72,68,66,66,56,59,73,77,67,72,0.76,0.8,0.76,0.76,0.9,0.76,
Munchkin,T1,控场,控场,88,80,81,-8,14,1831,67,70,79,84,72,83,75,78,85,92,82,91,0.82,0.89,0.82,0.82,0.92,0.82,
mta,KRÜ,决斗者,先锋,58,66,61,8,4,189,72,72,65,64,72,65,56,61,58,58,54,58,0.32,0.47,0.32,0.32,0.44,0.32,
Lakia,GEN,先锋,先锋,69,77,68,8,8,641,69,69,75,79,73,80,58,61,72,75,68,74,0.62,0.66,0.62,0.62,0.78,0.62,
crashies,FNC,先锋,先锋,83,75,80,-8,11,1690,79,79,86,64,74,71,78,71,91,86,87,86,0.81,0.81,0.81,0.81,0.92,0.81,
NaturE,EG,先锋,先锋,71,79,70,8,6,325,69,66,70,83,82,81,62,62,73,80,68,76,0.45,0.5,0.45,0.45,0.65,0.45,
Rb,NS,控场,控场,86,78,81,-8,10,1613,69,70,80,78,75,78,73,80,85,90,86,87,0.8,0.84,0.8,0.8,0.9,0.8,
Z1yan,JDG,哨卫,哨卫,63,71,65,8,4,258,74,70,70,71,71,70,66,60,63,64,64,61,0.39,0.46,0.39,0.39,0.0,0.39,clutch:no-data
SugarZ3ro,ZETA,控场,控场,76,68,73,-8,9,1026,68,59,64,79,59,76,68,62,77,85,71,81,0.72,0.79,0.72,0.72,0.85,0.72,
Monyet,RRQ,决斗者,控场,80,72,78,-8,11,1627,82,67,57,73,79,72,81,82,76,80,84,83,0.8,0.9,0.8,0.8,0.87,0.8,
kaajak,FNC,决斗者,决斗者,88,80,86,-8,8,1617,84,83,73,59,78,63,94,94,78,69,92,72,0.8,0.93,0.8,0.8,0.85,0.8,
ara,GX,决斗者,决斗者,79,71,78,-8,6,1076,73,79,71,56,75,60,84,88,71,64,82,66,0.73,0.9,0.73,0.73,0.84,0.73,
Jieni7,EDG,先锋,先锋,71,79,69,8,6,1370,74,74,66,86,77,77,66,63,70,84,68,74,0.77,0.84,0.77,0.77,0.48,0.77,
Urango,FUR,先锋,哨卫,55,63,50,8,1,75,66,53,60,73,71,68,51,56,50,66,48,56,0.16,0.23,0.16,0.16,0.31,0.16,
Avez,KC,先锋,先锋,85,77,80,-8,6,1067,84,75,71,68,86,71,84,85,81,87,88,83,0.73,0.83,0.73,0.73,0.82,0.73,
Minny,M8,哨卫,哨卫,79,71,78,-8,7,1171,78,70,64,69,76,71,85,83,78,78,81,75,0.75,0.87,0.75,0.75,0.88,0.75,
Dambi,NS,决斗者,决斗者,86,78,83,-8,7,1548,74,72,73,82,82,81,85,90,76,73,87,78,0.79,0.92,0.79,0.79,0.77,0.79,
Xdll,ZETA,先锋,先锋,65,57,62,-8,6,935,71,67,58,55,84,53,61,62,64,73,68,58,0.7,0.77,0.7,0.7,0.86,0.7,
Ivy,NS,控场,哨卫,83,75,75,-8,7,1548,74,77,75,69,78,71,79,75,83,82,82,74,0.79,0.88,0.79,0.79,0.91,0.79,
dgzin,EG,决斗者,决斗者,85,77,84,-8,5,924,83,86,66,58,68,61,93,95,75,68,88,70,0.7,0.89,0.7,0.7,0.78,0.7,
Boni,M80,决斗者,决斗者,79,71,83,-8,1,87,77,73,65,70,63,69,85,88,70,73,72,75,0.18,0.42,0.18,0.18,0.2,0.18,
alvinboy,M80,哨卫,哨卫,64,72,64,8,1,87,70,62,64,73,94,69,66,69,57,68,68,58,0.18,0.28,0.18,0.18,0.31,0.18,
Kyu,M80,先锋,先锋,70,62,57,-8,2,198,67,64,66,65,69,65,62,64,72,79,66,74,0.33,0.38,0.33,0.33,0.54,0.33,
Xross,NS,先锋,先锋,91,83,86,-8,4,1228,84,90,90,67,67,78,86,83,95,90,86,91,0.75,0.77,0.75,0.75,0.89,0.75,
Raxcal,GEN,哨卫,哨卫,77,85,83,8,1,416,70,73,84,84,94,87,72,77,78,76,82,77,0.51,0.6,0.51,0.51,0.74,0.51,
NINJA,PCF,先锋,哨卫,69,61,66,-8,3,648,69,63,60,65,73,61,69,70,67,75,70,62,0.62,0.77,0.62,0.62,0.83,0.62,
glacier,WOL,决斗者,决斗者,71,63,70,-8,2,678,72,62,57,67,71,66,77,79,60,60,75,60,0.63,0.86,0.63,0.63,0.0,0.63,clutch:no-data
yilai,BLG,决斗者,决斗者,62,70,77,8,1,188,72,66,70,76,71,75,65,61,62,65,61,61,0.32,0.57,0.32,0.32,0.0,0.32,clutch:no-data
ZmjjKK,EDG,决斗者,决斗者,89,82,83,-7,16,2085,86,85,70,65,72,69,89,94,78,72,86,73,0.84,0.94,0.84,0.84,0.69,0.84,
heybay,NOVA,先锋,先锋,63,70,64,7,8,424,67,65,71,76,64,72,58,60,63,73,56,68,0.51,0.45,0.51,0.51,0.2,0.51,
Knight,BLG,先锋,先锋,85,78,85,-7,12,1497,85,83,83,69,64,75,85,77,92,90,84,89,0.79,0.82,0.79,0.79,0.41,0.79,
cauanzin,LOUD,先锋,先锋,73,66,69,-7,9,677,73,72,65,66,71,67,68,70,72,78,71,72,0.63,0.73,0.63,0.63,0.77,0.63,
liazzi,MIBR,决斗者,先锋,62,69,62,7,2,39,71,70,70,70,69,70,60,63,62,62,65,63,0.09,0.11,0.09,0.09,0.19,0.09,
Deryeon,WOL,控场,控场,75,68,71,-7,6,630,72,68,68,71,62,72,69,76,72,81,69,77,0.61,0.71,0.61,0.61,0.43,0.61,
yuran,QTD,决斗者,决斗者,55,62,57,7,4,216,64,50,65,79,68,70,55,55,52,63,51,59,0.35,0.53,0.35,0.35,0.45,0.35,
Anthem,DFM,先锋,先锋,61,68,59,7,3,73,69,65,69,71,69,71,55,58,59,68,56,62,0.15,0.2,0.15,0.15,0.3,0.15,
sheydos,KC,先锋,先锋,72,65,68,-7,6,312,69,72,77,59,71,65,64,67,81,73,73,71,0.44,0.44,0.44,0.44,0.69,0.44,
starxo,M8,先锋,先锋,73,66,68,-7,7,1012,70,69,65,67,79,65,64,65,72,80,72,73,0.72,0.79,0.72,0.72,0.85,0.72,
Marved,SEN,控场,控场,68,75,76,7,3,114,71,64,72,74,84,74,64,65,63,76,68,68,0.22,0.31,0.22,0.22,0.41,0.22,
Flickless,GX,控场,控场,79,72,75,-7,6,1076,70,63,65,78,82,74,69,72,79,90,74,83,0.73,0.82,0.73,0.73,0.85,0.73,
BABYBAY,G2,哨卫,哨卫,81,74,79,-7,6,1665,73,83,78,71,60,79,82,89,85,78,80,81,0.81,0.9,0.81,0.81,0.91,0.81,
slowly,TYL,决斗者,决斗者,90,97,92,7,6,1417,89,98,94,83,71,88,96,87,89,82,90,89,0.78,0.89,0.78,0.78,0.0,0.78,clutch:no-data
raafa,FUR,先锋,先锋,56,63,52,7,2,84,64,58,63,72,63,68,50,52,52,68,48,58,0.17,0.24,0.17,0.17,0.33,0.17,
Brinks,2G,控场,控场,68,61,55,-7,1,110,70,71,68,60,60,62,62,63,68,76,60,70,0.22,0.31,0.22,0.22,0.44,0.22,
Hermes,ONG,决斗者,决斗者,62,69,59,7,3,461,58,61,77,83,62,78,57,66,62,64,64,66,0.54,0.7,0.54,0.54,0.7,0.54,
Zexy,VL,决斗者,决斗者,66,59,63,-7,3,754,64,65,61,60,70,59,71,78,56,55,66,53,0.65,0.86,0.65,0.65,0.74,0.65,
Crewen,BBL,哨卫,哨卫,67,60,65,-7,4,852,74,67,62,65,54,60,74,69,66,71,65,60,0.68,0.78,0.68,0.68,0.84,0.68,
waddle,PCF,先锋,先锋,75,68,73,-7,1,356,81,63,65,69,68,66,75,68,75,82,79,74,0.47,0.48,0.47,0.47,0.69,0.47,
chloric,NAVI,先锋,先锋,71,64,66,-7,2,596,70,66,70,68,50,68,61,64,74,79,61,74,0.6,0.66,0.6,0.6,0.81,0.6,
H1ber,M8,哨卫,哨卫,61,68,55,7,1,84,68,53,61,70,98,64,67,68,51,68,65,55,0.17,0.27,0.17,0.17,0.45,0.17,
ra1ny,TEC,决斗者,决斗者,69,62,78,-7,1,395,76,59,54,66,71,63,74,75,60,61,69,59,0.5,0.78,0.5,0.5,0.0,0.5,clutch:no-data
Eggsterr,ENVY,决斗者,决斗者,54,61,55,7,2,352,60,61,67,76,59,72,54,60,52,59,47,56,0.47,0.68,0.47,0.47,0.59,0.47,
zekken,MIBR,决斗者,决斗者,90,84,87,-6,14,1668,77,80,79,83,78,85,90,93,82,79,90,84,0.81,0.93,0.81,0.81,0.88,0.81,
Karon,GEN,控场,控场,95,89,90,-6,13,1457,84,86,84,76,88,82,89,81,97,98,92,95,0.78,0.84,0.78,0.78,0.91,0.78,
FengF,TE,先锋,先锋,76,70,73,-6,10,1204,89,71,63,59,71,64,81,73,73,78,83,73,0.75,0.83,0.75,0.75,0.2,0.75,
Mazino,MIBR,控场,控场,82,76,78,-6,11,1432,74,69,66,82,65,79,76,75,80,88,75,85,0.78,0.85,0.78,0.78,0.86,0.78,
Biank,BLG,先锋,先锋,59,65,59,6,9,557,64,64,63,70,82,66,54,52,57,70,63,62,0.58,0.63,0.58,0.58,0.19,0.58,
nephh,BLG,控场,先锋,86,92,83,6,10,1560,74,75,79,98,68,96,78,75,89,94,79,93,0.8,0.84,0.8,0.8,0.37,0.8,
yosemite,WOL,哨卫,哨卫,79,73,78,-6,10,1175,79,77,69,73,67,70,87,80,80,79,83,75,0.75,0.81,0.75,0.75,0.09,0.75,
artzin,FUR,控场,控场,74,68,70,-6,12,1614,74,63,58,72,80,68,69,72,68,84,72,74,0.8,0.89,0.8,0.8,0.88,0.8,
GuanG,NOVA,控场,哨卫,77,71,75,-6,9,997,79,82,76,56,71,62,83,71,79,78,81,68,0.71,0.77,0.71,0.71,0.0,0.71,clutch:no-data
RgLMeister,MIBR,控场,控场,65,71,68,6,2,48,71,71,71,71,74,71,56,54,67,73,64,68,0.11,0.1,0.11,0.11,0.25,0.11,
Virtyy,LOUD,决斗者,决斗者,60,54,59,-6,3,425,61,56,62,63,61,62,62,69,55,55,58,54,0.52,0.78,0.52,0.52,0.63,0.52,
xeus,FUT,决斗者,决斗者,74,68,72,-6,7,1558,79,70,66,59,64,61,83,84,64,60,68,60,0.8,0.91,0.8,0.8,0.82,0.8,
UdoTan,GE,决斗者,决斗者,83,77,80,-6,7,1493,78,77,77,64,78,72,87,88,78,66,86,73,0.79,0.91,0.79,0.79,0.84,0.79,
Shr1mp,AG,先锋,先锋,85,79,84,-6,6,1420,76,89,85,68,84,74,78,74,92,89,92,88,0.78,0.78,0.78,0.78,0.35,0.78,
bdog,FUR,决斗者,先锋,65,71,91,6,1,9,72,72,72,72,67,72,67,70,62,62,63,64,0.02,0.01,0.02,0.02,0.08,0.02,
basic,FUR,决斗者,决斗者,90,96,91,6,1,556,76,79,96,94,91,99,91,83,93,87,96,94,0.58,0.7,0.58,0.58,0.78,0.58,
Neon,LEV,哨卫,哨卫,91,97,89,6,4,1227,84,99,99,74,83,87,91,95,92,85,85,87,0.75,0.88,0.75,0.75,0.88,0.75,
tkzin,LOUD,决斗者,决斗者,76,70,70,-6,1,643,78,60,64,65,91,68,83,84,64,61,79,62,0.62,0.84,0.62,0.62,0.52,0.62,
xavi8k,GE,控场,控场,82,76,80,-6,4,1308,72,73,77,74,78,74,71,75,86,91,77,86,0.77,0.82,0.77,0.77,0.89,0.77,
Sayonara,VIT,先锋,先锋,90,84,88,-6,3,1008,93,95,84,61,88,71,90,89,94,91,91,87,0.72,0.79,0.72,0.72,0.84,0.72,
DeadInk,FF,决斗者,决斗者,68,74,73,6,1,341,62,97,86,59,65,67,65,74,67,60,76,59,0.46,0.66,0.46,0.46,0.59,0.46,
nekky,EF,先锋,先锋,71,65,67,-6,3,829,78,64,65,62,88,61,70,63,71,76,75,68,0.67,0.7,0.67,0.67,0.83,0.67,
Ying,KBG,决斗者,控场,62,68,81,6,1,107,75,72,65,67,71,66,65,58,65,65,60,60,0.21,0.3,0.21,0.21,0.0,0.21,clutch:no-data
sibeastw0w,KBG,先锋,先锋,80,74,78,-6,1,107,74,72,71,74,71,73,85,89,71,80,79,72,0.21,0.18,0.21,0.21,0.0,0.21,clutch:no-data
Krst1Ng,KBG,控场,控场,61,67,70,6,1,107,70,70,67,68,71,68,58,53,61,68,62,57,0.21,0.31,0.21,0.21,0.0,0.21,clutch:no-data
wayne,TL,控场,控场,82,76,80,-6,3,587,72,72,80,76,59,80,73,73,87,89,73,89,0.59,0.65,0.59,0.59,0.79,0.59,
KiTae,GEN,控场,控场,60,66,59,6,1,106,66,61,66,73,67,71,58,61,55,68,54,59,0.21,0.33,0.21,0.21,0.29,0.21,
Rimuru,TS,决斗者,决斗者,59,53,52,-6,1,104,66,47,56,69,66,64,64,68,50,55,55,52,0.21,0.57,0.21,0.21,0.13,0.21,
NagZ,KRÜ,控场,哨卫,64,70,64,6,1,96,67,63,68,72,82,69,60,66,62,68,67,59,0.19,0.27,0.19,0.19,0.43,0.19,
benG,KRÜ,控场,控场,59,65,61,6,1,96,68,71,67,67,65,66,56,55,56,68,53,58,0.19,0.24,0.19,0.19,0.53,0.19,
trexx,TL,先锋,先锋,91,96,88,5,8,1038,81,83,88,91,80,92,85,86,95,95,92,95,0.72,0.74,0.72,0.72,0.87,0.72,
primmie,FS,决斗者,决斗者,91,96,91,5,9,1414,94,96,89,66,82,77,95,94,88,72,95,82,0.78,0.9,0.78,0.78,0.88,0.78,
t3xture,GEN,哨卫,决斗者,86,81,86,-5,13,1457,82,90,77,59,75,67,89,94,78,74,91,73,0.78,0.93,0.78,0.78,0.87,0.78,
Boo,TH,控场,控场,78,83,77,5,15,1837,64,67,85,88,69,87,65,64,83,88,69,87,0.82,0.86,0.82,0.82,0.94,0.82,
hiro,NAVI,控场,哨卫,89,84,86,-5,8,1183,91,80,75,70,87,73,94,90,89,89,94,82,0.75,0.84,0.75,0.75,0.88,0.75,
d4v41,PRX,控场,哨卫,90,85,82,-5,16,2415,77,85,89,78,69,85,85,81,92,88,83,84,0.86,0.91,0.86,0.86,0.94,0.86,
Lysoar,XLG,控场,控场,82,77,82,-5,15,1964,78,81,84,71,60,78,78,71,90,89,75,88,0.83,0.82,0.83,0.83,0.75,0.83,
pANcada,LOUD,控场,控场,77,72,79,-5,5,363,75,77,75,71,63,72,72,68,80,81,74,79,0.48,0.52,0.48,0.48,0.77,0.48,
Cryocells,100T,哨卫,哨卫,89,84,87,-5,10,1468,82,91,87,63,77,77,91,92,90,81,90,82,0.79,0.88,0.79,0.79,0.9,0.79,
